ID,Link,Date,Sport,Country,League
Uc7oMG0J,https://www.betexplorer.com/soccer/south-africa/diski-challenge/royal-am-amazulu/Uc7oMG0J/,"2022,9,25,10,00",soccer,south-africa,diski-challenge
Q7736hGu,https://www.betexplorer.com/soccer/south-africa/diski-challenge/ts-galaxy-mamelodi-sundowns/Q7736hGu/,"2022,9,25,10,00",soccer,south-africa,diski-challenge
UHTcXRPe,https://www.betexplorer.com/soccer/south-korea/k3-league/pocheon-busan-kyotong/UHTcXRPe/,"2022,9,25,10,00",soccer,south-korea,k3-league
hp0OGV9O,https://www.betexplorer.com/soccer/czech-republic/cfl-group-a/sokolov-karlovy-vary/hp0OGV9O/,"2022,9,25,10,15",soccer,czech-republic,cfl-group-a
6ml6uFnP,https://www.betexplorer.com/soccer/czech-republic/cfl-group-a/loko-vltavin-fk-zbuzany-1953/6ml6uFnP/,"2022,9,25,10,15",soccer,czech-republic,cfl-group-a
SduceX0U,https://www.betexplorer.com/soccer/czech-republic/cfl-group-b/jablonec-benesov/SduceX0U/,"2022,9,25,10,15",soccer,czech-republic,cfl-group-b
hK63GGWu,https://www.betexplorer.com/soccer/czech-republic/cfl-group-b/pardubice-banik-most-sous/hK63GGWu/,"2022,9,25,10,15",soccer,czech-republic,cfl-group-b
AmiauwOb,https://www.betexplorer.com/soccer/czech-republic/division-a/aritma-prague-katovice/AmiauwOb/,"2022,9,25,10,15",soccer,czech-republic,division-a
OOrQZsvh,https://www.betexplorer.com/soccer/czech-republic/division-b/neratovice-cesky-brod/OOrQZsvh/,"2022,9,25,10,15",soccer,czech-republic,division-b
hbmUY1gb,https://www.betexplorer.com/soccer/czech-republic/division-b/olympie-brezova-fk-ceska-lipa/hbmUY1gb/,"2022,9,25,10,15",soccer,czech-republic,division-b
67EBGKwU,https://www.betexplorer.com/soccer/czech-republic/division-b/sk-kladno-kosmonosy/67EBGKwU/,"2022,9,25,10,15",soccer,czech-republic,division-b
CbftWawH,https://www.betexplorer.com/soccer/czech-republic/division-b/steti-slany/CbftWawH/,"2022,9,25,10,15",soccer,czech-republic,division-b
