ID,Link,Date,Sport,Country,League
UgiyCyII,https://www.betexplorer.com/soccer/argentina/primera-b/los-andes-ituzaingo/UgiyCyII/,"2022,9,13,20,00",soccer,argentina,primera-b
2TAgVDEH,https://www.betexplorer.com/soccer/hungary/merkantil-bank-liga/dvtk-mtk-budapest/2TAgVDEH/,"2022,9,13,20,00",soccer,hungary,merkantil-bank-liga
r1LoWUrt,https://www.betexplorer.com/soccer/ivory-coast/ligue-1/racing-d-abidjan-usc-bassam/r1LoWUrt/,"2022,9,13,20,00",soccer,ivory-coast,ligue-1
AeBqBLBn,https://www.betexplorer.com/soccer/netherlands/eerste-divisie/almere-city-eindhoven-fc/AeBqBLBn/,"2022,9,13,20,00",soccer,netherlands,eerste-divisie
GYBuC1dt,https://www.betexplorer.com/soccer/netherlands/eerste-divisie/jong-ajax-breda/GYBuC1dt/,"2022,9,13,20,00",soccer,netherlands,eerste-divisie
lnAmAuRh,https://www.betexplorer.com/soccer/netherlands/eerste-divisie/jong-az-alkmaar-zwolle/lnAmAuRh/,"2022,9,13,20,00",soccer,netherlands,eerste-divisie
6N4h9ata,https://www.betexplorer.com/soccer/netherlands/eerste-divisie/jong-psv-den-bosch/6N4h9ata/,"2022,9,13,20,00",soccer,netherlands,eerste-divisie
vy307wBB,https://www.betexplorer.com/soccer/netherlands/eerste-divisie/jong-utrecht-den-haag/vy307wBB/,"2022,9,13,20,00",soccer,netherlands,eerste-divisie
pE3d8Je5,https://www.betexplorer.com/soccer/netherlands/eerste-divisie/roda-de-graafschap/pE3d8Je5/,"2022,9,13,20,00",soccer,netherlands,eerste-divisie
W8Gj27vB,https://www.betexplorer.com/soccer/romania/liga-1/fcsb-voluntari/W8Gj27vB/,"2022,9,13,20,00",soccer,romania,liga-1
OU3YSD3I,https://www.betexplorer.com/soccer/russia/fnl/baltika-dynamo-makhachkala/OU3YSD3I/,"2022,9,13,20,00",soccer,russia,fnl
CS38p8Qj,https://www.betexplorer.com/soccer/argentina/primera-a-women/platense-uai-urquiza/CS38p8Qj/,"2022,9,13,20,10",soccer,argentina,primera-a-women
CKgGmFNJ,https://www.betexplorer.com/soccer/italy/serie-c-group-c/picerno-foggia/CKgGmFNJ/,"2022,9,13,20,30",soccer,italy,serie-c-group-c
h63js0th,https://www.betexplorer.com/soccer/turkey/super-lig/adanademirspor-trabzonspor/h63js0th/,"2022,9,13,20,30",soccer,turkey,super-lig
A3HExkdl,https://www.betexplorer.com/soccer/england/national-league-north/bradford-pa-darlington-1883/A3HExkdl/,"2022,9,13,20,45",soccer,england,national-league-north
AVZ3AKR8,https://www.betexplorer.com/soccer/england/national-league-south/chelmsford-oxford-city/AVZ3AKR8/,"2022,9,13,20,45",soccer,england,national-league-south
Y7cfdyqa,https://www.betexplorer.com/soccer/england/southern-league-central-division/barwell-kings-langley/Y7cfdyqa/,"2022,9,13,20,45",soccer,england,southern-league-central-division
