ID,Result,Partial results
KpNjD0bi,"[3, 3]","[[1, 2], [2, 1]]"
E70PduEA,"[1, 2]","[[0, 1], [1, 1]]"
pS880NEo,"[2, 1]",
AZgYfJrN,"[3, 0]","[[1, 0], [2, 0]]"
65u4kc6p,"[1, 7]",
djIF7dSS,"[1, 0]","[[0, 0], [1, 0]]"
lQE79IcG,"[4, 2]","[[1, 0], [3, 2]]"
vBLv2zjj,"[2, 0]",
6scHb1qb,"[1, 2]",
AkpoddvD,"[1, 1]","[[1, 1], [0, 0]]"
8SOk1Bnb,"[0, 2]","[[0, 1], [0, 1]]"
zeA8rwAD,"[2, 1]","[[2, 1], [0, 0]]"
QcSXJaWJ,"[1, 0]","[[0, 0], [1, 0]]"
fJ5GByv0,"[0, 3]","[[0, 2], [0, 1]]"
6FIinLAl,"[0, 0]","[[0, 0], [0, 0]]"
dpRdi7ho,"[1, 5]","[[0, 2], [1, 3]]"
MTD3Ewfs,"[0, 3]","[[0, 1], [0, 2]]"
nZwR0KPs,"[1, 2]","[[0, 0], [1, 2]]"
UR4dU53G,"[0, 0]",
8I30TPIM,"[2, 0]","[[0, 0], [2, 0]]"
Cznac1oL,"[3, 1]","[[1, 1], [2, 0]]"
bXJnlc87,"[1, 0]","[[1, 0], [0, 0]]"
QwCYB00E,"[0, 3]","[[0, 0], [0, 3]]"
fay4dL0R,"[0, 4]","[[0, 2], [0, 2]]"
lAQ8DQ4M,"[4, 1]","[[3, 0], [1, 1]]"
ldozaRkT,"[1, 0]","[[1, 0], [0, 0]]"
A5nWa7zN,"[0, 2]","[[0, 1], [0, 1]]"
WYFDCpKS,"[0, 2]","[[0, 0], [0, 2]]"
2uqO1T5A,"[0, 0]","[[0, 0], [0, 0]]"
YaeB4VLi,"[3, 1]","[[1, 0], [2, 1]]"
65P4xNX2,"[1, 3]","[[0, 2], [1, 1]]"
EL9EE0Id,"[2, 1]","[[0, 0], [2, 1]]"
dMWTVV8i,"[1, 0]","[[0, 0], [1, 0]]"
UBOtTThA,"[0, 0]","[[0, 0], [0, 0]]"
bilVcA8S,"[2, 0]","[[1, 0], [1, 0]]"
4GZRbjgM,"[0, 1]","[[0, 1], [0, 0]]"
UcsF1h93,"[2, 3]","[[1, 1], [1, 2]]"
z1Br3XHo,,"[[1, 1], [0, 0], [3, 1]]"
YVgCXBFl,"[1, 1]","[[0, 1], [1, 0]]"
EPqjq9E0,"[0, 1]","[[0, 0], [0, 1]]"
KSk8Yi0r,"[0, 1]","[[0, 0], [0, 1]]"
lp5eEwol,"[5, 0]","[[1, 0], [4, 0]]"
OlIZdxGD,"[4, 2]","[[2, 1], [2, 1]]"
f9QI0KGl,"[2, 1]","[[0, 0], [2, 1]]"
SMOQbbo1,"[2, 1]","[[0, 0], [2, 1]]"
4CTzHOI0,"[0, 4]","[[0, 3], [0, 1]]"
nyJuGrY6,"[2, 2]","[[2, 1], [0, 1]]"
rexLzXIJ,"[4, 0]","[[3, 0], [1, 0]]"
2uJiVAts,"[2, 0]","[[1, 0], [1, 0]]"
n3DtYDOs,"[2, 0]","[[2, 0], [0, 0]]"
EqnGKwKT,"[1, 2]","[[1, 2], [0, 0]]"
vuaBjv4c,"[8, 0]","[[3, 0], [5, 0]]"
KO3QArf5,"[0, 2]","[[0, 1], [0, 1]]"
MB6tGi9H,,
vmHyHXgB,,
2XG3aX28,"[0, 2]","[[0, 1], [0, 1]]"
fRgxqCIR,"[1, 0]","[[1, 0], [0, 0]]"
dzt4vWQr,"[1, 0]","[[0, 0], [1, 0]]"
UcZcsmwj,"[4, 1]","[[1, 1], [3, 0]]"
d4Rq5jVd,,"[[1, 1], [1, 0], [5, 6]]"
QgtymVT2,"[3, 2]","[[1, 1], [2, 1]]"
Ol2hOoi2,"[0, 1]","[[0, 0], [0, 1]]"
CArmpTDL,"[4, 1]","[[2, 1], [2, 0]]"
vcpunkq9,"[3, 0]","[[0, 0], [3, 0]]"
YJqqo9bF,"[1, 3]","[[1, 2], [0, 1]]"
AqixRQN8,"[0, 1]","[[0, 1], [0, 0]]"
d4VKI2Vl,"[1, 3]","[[1, 1], [0, 2]]"
0YqkOO7R,"[1, 2]","[[1, 2], [0, 0]]"
d49k3NV1,"[0, 0]","[[0, 0], [0, 0]]"
2sWGJrGr,"[1, 0]","[[1, 0], [0, 0]]"
hWOTGt01,"[1, 0]","[[1, 0], [0, 0]]"
Gz13oMXj,"[0, 0]","[[0, 0], [0, 0]]"
CE0cuCVe,"[2, 1]","[[1, 1], [1, 0]]"
6Xq0aXMR,"[1, 2]","[[1, 1], [0, 1]]"
CONkn0Y4,"[0, 4]","[[0, 3], [0, 1]]"
z53mYAWD,,
nmRoTiG5,"[1, 1]",
tnKfRVpI,"[2, 1]",
UBGjSBVB,"[1, 3]",
lC79y0np,"[2, 1]","[[1, 1], [1, 0]]"
vstAic25,"[2, 1]","[[1, 0], [1, 1]]"
zRbWNUTQ,"[3, 0]","[[0, 0], [3, 0]]"
jwPS39xe,"[1, 1]","[[1, 1], [0, 0]]"
Y1EX2Ti1,"[1, 2]","[[0, 1], [1, 1]]"
WbXDr0wI,"[1, 1]","[[1, 1], [0, 0]]"
vPzMtv8U,"[4, 0]","[[3, 0], [1, 0]]"
Gd20eIUR,"[2, 1]","[[2, 0], [0, 1]]"
EX5qa0V2,"[1, 0]","[[0, 0], [1, 0]]"
EXsykG7e,"[2, 0]","[[1, 0], [1, 0]]"
00h1IYKC,"[1, 3]","[[1, 0], [0, 3]]"
Iy3dJE56,"[2, 0]","[[1, 0], [1, 0]]"
j9qmNd6s,"[7, 0]","[[1, 0], [6, 0]]"
WK0pMGLm,"[0, 5]","[[0, 3], [0, 2]]"
tvE5wGD5,"[0, 0]",
zgZ39hoR,"[0, 1]","[[0, 0], [0, 1]]"
EqUHUZE7,"[2, 11]","[[1, 4], [1, 7]]"
xMsaSRJI,"[0, 0]",
rareT74C,"[0, 0]",
xWvyvRun,"[0, 0]",
8Q15oByp,"[5, 1]","[[2, 1], [3, 0]]"
nNZXTtoL,"[5, 1]","[[2, 0], [3, 1]]"
UoPxT00R,"[2, 0]","[[1, 0], [1, 0]]"
0IszxEVs,"[1, 4]","[[0, 0], [1, 4]]"
4KwWlsPP,"[3, 0]","[[3, 0], [0, 0]]"
hbmk1G8A,"[0, 0]",
Y1KV0fxf,"[1, 1]","[[1, 0], [0, 1]]"
4MzGKW80,"[5, 0]","[[3, 0], [2, 0]]"
voGpNUzo,,"[[2, 1], [0, 1], [5, 4]]"
00QCFMtI,"[0, 3]","[[0, 1], [0, 2]]"
pCKqBbdK,"[6, 1]","[[2, 0], [4, 1]]"
G2BAPl44,"[2, 6]","[[1, 3], [1, 3]]"
x0WpmaVs,"[0, 0]",
b1TwNe1I,"[0, 0]",
pSb2uGPI,"[5, 2]","[[1, 0], [4, 2]]"
x25nNups,"[7, 2]","[[4, 1], [3, 1]]"
M7835aa4,"[0, 0]",
OjZ2LrVD,"[0, 0]",
UcN0qKOB,"[0, 0]",
xzRfUcje,"[1, 3]","[[0, 0], [1, 3]]"
KQCWVHKO,"[5, 0]","[[3, 0], [2, 0]]"
vVo5wcWg,"[0, 7]","[[0, 0], [0, 7]]"
Y1W0nTh4,"[1, 0]","[[1, 0], [0, 0]]"
0zXlKA9B,"[0, 0]",
h4z47Pbm,"[3, 1]","[[2, 0], [1, 1]]"
t8wAVvef,"[0, 0]",
APt3Sdai,"[1, 3]","[[1, 1], [0, 2]]"
zul7ofC9,"[0, 0]",
EPabmGsc,"[0, 0]",
SnvUJOnA,"[0, 0]",
xjcs3KUi,"[8, 0]","[[5, 0], [3, 0]]"
v5pPnfir,"[7, 4]","[[2, 2], [5, 2]]"
6RUD7KSo,"[0, 0]",
baro9nMt,"[0, 0]",
j3zvpXgA,"[3, 1]","[[0, 1], [3, 0]]"
GM5OIS92,"[1, 0]","[[0, 0], [1, 0]]"
ULwDHypH,"[1, 2]","[[0, 2], [1, 0]]"
QZNnbNOO,"[2, 2]","[[0, 0], [2, 2]]"
vwCUM61P,"[0, 1]","[[0, 0], [0, 1]]"
Gb3dIQ9t,"[2, 2]","[[1, 0], [1, 2]]"
bNh1HpPn,"[1, 1]","[[0, 0], [1, 1]]"
xEi5G4vg,"[1, 1]","[[0, 0], [1, 1]]"
6md9FOga,"[2, 2]","[[0, 1], [2, 1]]"
pveDEr95,"[2, 0]","[[1, 0], [1, 0]]"
S2pID2OB,"[1, 0]","[[0, 0], [1, 0]]"
vwlMCMwI,"[0, 2]","[[0, 2], [0, 0]]"
YamQBtgO,"[0, 0]","[[0, 0], [0, 0]]"
CjnUA08U,"[1, 0]","[[1, 0], [0, 0]]"
bXs9F695,"[1, 0]","[[0, 0], [1, 0]]"
tdXDEQOB,"[0, 3]","[[0, 2], [0, 1]]"
KnWHDpvI,"[0, 1]","[[0, 0], [0, 1]]"
lMzMC4gO,"[1, 1]","[[0, 1], [1, 0]]"
SCZPBO8U,"[2, 1]","[[1, 1], [1, 0]]"
hz1WW7vt,"[0, 1]","[[0, 0], [0, 1]]"
6w5zWRgn,"[1, 0]","[[1, 0], [0, 0]]"
004vVo9h,"[0, 1]","[[0, 1], [0, 0]]"
vi3rU5Ob,"[1, 1]","[[0, 1], [1, 0]]"
K2KuTPw5,"[1, 1]","[[0, 0], [1, 1]]"
bgJqSqgB,"[1, 1]","[[0, 0], [1, 1]]"
hGImR38H,"[0, 2]","[[0, 0], [0, 2]]"
lScYw0mq,"[0, 1]","[[0, 0], [0, 1]]"
SIdxwK2k,"[3, 2]","[[2, 1], [1, 1]]"
pfisxvIe,"[2, 0]","[[2, 0], [0, 0]]"
OpjoybX1,"[1, 1]","[[0, 1], [1, 0]]"
xlvTasA2,"[1, 0]","[[0, 0], [1, 0]]"
jirXb1P8,"[0, 4]","[[0, 1], [0, 3]]"
YFXybLvF,"[4, 0]","[[3, 0], [1, 0]]"
C6WucufL,,
KWVqda9R,"[6, 3]","[[3, 1], [3, 2]]"
MuIBiJHr,"[1, 1]","[[0, 1], [1, 0]]"
447GjwXl,"[1, 1]","[[1, 0], [0, 1]]"
n7qq3qdq,"[1, 1]","[[1, 1], [0, 0]]"
Qcrm23Bk,"[0, 2]","[[0, 0], [0, 2]]"
8MXi1NQe,"[2, 3]","[[0, 1], [2, 2]]"
Kdyd0st2,"[0, 7]","[[0, 3], [0, 4]]"
YaPwPQI2,"[2, 1]","[[2, 0], [0, 1]]"
CjOsOpY8,"[2, 3]","[[1, 1], [1, 2]]"
URInN4mF,"[2, 1]","[[0, 0], [2, 1]]"
8IHjMO2L,"[3, 0]","[[1, 0], [2, 0]]"
