ID,Result,Partial results
APl6by7p,"[0, 2]","[[0, 1], [0, 1]]"
hp2v3HbT,"[0, 2]","[[0, 1], [0, 1]]"
OShAceMj,"[0, 3]","[[0, 1], [0, 2]]"
QXWhMvai,"[1, 1]","[[1, 0], [0, 1]]"
Ycz1KIT3,"[0, 6]","[[0, 2], [0, 4]]"
4OVdLbEc,"[3, 1]","[[2, 0], [1, 1]]"
KUMKARWd,"[2, 0]","[[2, 0], [0, 0]]"
IPrxnrfd,"[1, 0]","[[0, 0], [1, 0]]"
4EbN7Tn7,"[0, 0]","[[0, 0], [0, 0]]"
MkVmOlXm,"[1, 0]","[[1, 0], [0, 0]]"
r5cR6m2D,"[0, 0]","[[0, 0], [0, 0]]"
pEg3mIT2,"[1, 0]","[[0, 0], [1, 0]]"
p0EUYIE9,"[1, 0]","[[0, 0], [1, 0]]"
EufM6CKI,"[1, 0]","[[1, 0], [0, 0]]"
KIfI7h5C,"[3, 0]","[[1, 0], [2, 0]]"
jLuRvayn,"[1, 3]","[[1, 1], [0, 2]]"
fyg6kS6A,,"[[1, 0], [0, 1], [4, 1]]"
4n0ghUMi,"[2, 1]","[[0, 1], [2, 0]]"
OIgr7I5E,"[1, 0]","[[1, 0], [0, 0]]"
dC1dqFD7,"[0, 1]","[[0, 1], [0, 0]]"
xpxVcES0,"[1, 2]","[[1, 0], [0, 2]]"
AFkv8bj8,"[2, 2]","[[1, 1], [1, 1]]"
6sqm6xLK,"[5, 1]","[[3, 1], [2, 0]]"
MNUktgZ4,"[3, 1]","[[1, 1], [2, 0]]"
S0iHdEJo,"[1, 2]","[[1, 1], [0, 1]]"
QeDYXUto,"[3, 0]","[[2, 0], [1, 0]]"
0QVM23zk,"[2, 0]","[[1, 0], [1, 0]]"
AZZ5kAEG,"[1, 0]","[[0, 0], [1, 0]]"
f1UcFQFq,,"[[0, 0], [0, 0], [1, 1], [4, 5]]"
lIlPj0dQ,"[1, 3]","[[0, 0], [1, 3]]"
riW1OlC5,"[0, 4]","[[0, 1], [0, 3]]"
zo9z8TRO,"[3, 0]","[[2, 0], [1, 0]]"
C2hJWC4P,"[3, 0]","[[3, 0], [0, 0]]"
OSOISHQ4,"[3, 2]","[[1, 1], [2, 1]]"
6aMsKs6O,"[6, 0]","[[4, 0], [2, 0]]"
K2QoJ1LU,"[0, 8]","[[0, 5], [0, 3]]"
AFJacesl,"[1, 0]","[[1, 0], [0, 0]]"
xGtrXr23,"[3, 0]","[[1, 0], [2, 0]]"
ptpjVMWF,"[5, 0]","[[2, 0], [3, 0]]"
WxtnW2H9,"[1, 0]","[[1, 0], [0, 0]]"
6eYbT01S,"[0, 4]","[[0, 2], [0, 2]]"
OlzQOK9q,"[5, 1]","[[4, 0], [1, 1]]"
S4ZfUtnM,"[3, 2]","[[0, 2], [3, 0]]"
2uZTNvPk,"[2, 3]","[[2, 1], [0, 2]]"
tQCyf3xD,"[0, 2]","[[0, 1], [0, 1]]"
nm9O9bAt,"[4, 1]","[[2, 0], [2, 1]]"
jNCF94jk,"[2, 1]","[[1, 1], [1, 0]]"
UDBJ8O5e,"[2, 1]","[[1, 1], [1, 0]]"
APSG7rL1,"[4, 1]","[[2, 1], [2, 0]]"
lGRK62z8,"[2, 1]","[[0, 1], [2, 0]]"
2JF2VoD8,"[3, 1]","[[3, 0], [0, 1]]"
GMJ6U5SE,"[3, 0]","[[2, 0], [1, 0]]"
MciAeKAd,"[0, 1]","[[0, 0], [0, 1]]"
MmMS93E3,"[1, 2]","[[0, 1], [1, 1]]"
pUVHmDc1,"[1, 1]","[[1, 1], [0, 0]]"
EiYMvPuc,"[2, 1]","[[0, 1], [2, 0]]"
