ID,Result,Partial results
6BtiR5Bc,"[1, 0]","[[1, 0], [0, 0]]"
YeezHLmj,"[2, 1]","[[0, 0], [2, 1]]"
GnqwX7Wu,"[1, 0]","[[0, 0], [1, 0]]"
bHaPDpWH,"[0, 2]","[[0, 1], [0, 1]]"
GQPkOIYp,"[4, 0]","[[4, 0], [0, 0]]"
MoRNoboi,,
IqZXzMPO,"[0, 0]","[[0, 0], [0, 0]]"
4tVTy2AI,"[2, 2]","[[0, 2], [2, 0]]"
CQjoosrb,"[2, 2]","[[1, 1], [1, 1]]"
rinsnNSi,"[1, 1]","[[0, 0], [1, 1]]"
jHkkp1c4,"[2, 1]","[[2, 1], [0, 0]]"
QZHSSaST,"[0, 0]","[[0, 0], [0, 0]]"
2e9fOJzo,"[1, 0]","[[1, 0], [0, 0]]"
WCIOTuDN,"[0, 1]","[[0, 0], [0, 1]]"
YuufqLCA,"[0, 3]","[[0, 0], [0, 3]]"
fZ3nogjn,"[1, 2]","[[0, 2], [1, 0]]"
OzcVL0Su,"[2, 2]","[[1, 1], [1, 1]]"
ldySfPQm,"[0, 1]","[[0, 1], [0, 0]]"
SnzWgqtf,"[0, 0]","[[0, 0], [0, 0]]"
pOUzg3e0,"[1, 1]","[[0, 1], [1, 0]]"
OETvhNA6,"[2, 0]","[[1, 0], [1, 0]]"
IyTrisQC,"[3, 0]","[[1, 0], [2, 0]]"
UBWnj1uJ,"[2, 0]","[[1, 0], [1, 0]]"
A79ZD4XP,"[4, 0]","[[3, 0], [1, 0]]"
WGAVEpIJ,"[0, 0]","[[0, 0], [0, 0]]"
n9SG09h6,"[2, 1]","[[0, 1], [2, 0]]"
tCP82VNg,"[2, 3]","[[2, 2], [0, 1]]"
n96ooUhJ,"[0, 1]","[[0, 1], [0, 0]]"
4f6wp3Il,"[3, 0]","[[0, 0], [3, 0]]"
IyiTCbia,"[4, 0]","[[2, 0], [2, 0]]"
vFsBsev0,"[2, 2]","[[2, 1], [0, 1]]"
hbuapcfs,"[1, 0]","[[1, 0], [0, 0]]"
nH2WlwnQ,"[0, 1]","[[0, 0], [0, 1]]"
QcrE7Pe2,"[2, 2]","[[0, 2], [2, 0]]"
EahF4ZRh,"[4, 0]","[[3, 0], [1, 0]]"
z9gB5FCn,"[1, 1]","[[1, 0], [0, 1]]"
ARoO2Dd5,"[1, 2]","[[0, 2], [1, 0]]"
WzmK3gsa,"[3, 4]","[[1, 3], [2, 1]]"
fc6W6iTr,"[2, 2]","[[1, 2], [1, 0]]"
tl5L8efj,"[0, 5]","[[0, 0], [0, 5]]"
zVdrwQ0d,"[3, 2]","[[0, 1], [3, 1]]"
IDbCD6x9,"[5, 2]","[[3, 0], [2, 2]]"
OnLwolSS,"[6, 1]","[[3, 0], [3, 1]]"
ltZmGSur,"[2, 1]","[[1, 0], [1, 1]]"
xxUsNvkk,"[2, 0]","[[1, 0], [1, 0]]"
AyRgoJYE,"[3, 2]","[[1, 2], [2, 0]]"
tUnLNj8m,"[1, 3]","[[1, 2], [0, 1]]"
QsGeDxF2,"[0, 1]","[[0, 1], [0, 0]]"
CbI7AzaL,"[2, 3]","[[2, 3], [0, 0]]"
QkAKlgx2,"[3, 2]","[[1, 1], [2, 1]]"
dWgv5EMr,"[1, 1]","[[0, 1], [1, 0]]"
beE3BGqF,"[4, 1]","[[1, 1], [3, 0]]"
4YEaCdU8,"[5, 0]","[[2, 0], [3, 0]]"
naBGkZMe,"[2, 2]","[[2, 1], [0, 1]]"
fN7C9fER,"[2, 1]","[[2, 0], [0, 1]]"
fcnIMOXK,"[2, 4]","[[1, 2], [1, 2]]"
lMSUmcvc,"[0, 0]","[[0, 0], [0, 0]]"
YDprQgnj,"[0, 0]","[[0, 0], [0, 0]]"
21jZ5Unj,"[3, 3]","[[2, 0], [1, 3]]"
t0H9uKTn,"[1, 2]","[[0, 2], [1, 0]]"
r1sakFJG,"[4, 0]","[[0, 0], [4, 0]]"
AcdrKwYD,"[0, 2]","[[0, 0], [0, 2]]"
OziHrAS9,"[0, 3]","[[0, 1], [0, 2]]"
MVY3Z5kd,"[1, 0]","[[0, 0], [1, 0]]"
hG43f7RL,,"[[0, 0], [0, 0], [1, 1], [3, 2]]"
plQcZzck,"[0, 0]","[[0, 0], [0, 0]]"
UipeneZN,,
KGP46bKu,"[0, 0]","[[0, 0], [0, 0]]"
b7O85IZo,"[0, 0]","[[0, 0], [0, 0]]"
xIg39jgl,"[2, 1]","[[1, 0], [1, 1]]"
SEzbHDM2,"[1, 0]","[[0, 0], [1, 0]]"
YHdnUU2K,,
SvdjTlIQ,"[1, 1]","[[1, 0], [0, 1]]"
40mIO8Qs,,
QFyRMnef,"[1, 0]","[[1, 0], [0, 0]]"
fktVL6A0,"[0, 1]","[[0, 1], [0, 0]]"
YuuZKQP6,,
G4UwKpuD,"[3, 1]","[[2, 0], [1, 1]]"
EkmsJ4fJ,"[1, 0]","[[0, 0], [1, 0]]"
ShyPslXJ,,
6qzTt8nQ,"[2, 1]","[[1, 1], [1, 0]]"
nwIexSfs,,
OMFE2d96,"[3, 2]","[[3, 1], [0, 1]]"
vgE0aWdc,"[1, 3]","[[1, 2], [0, 1]]"
WpUHPwJO,"[3, 0]","[[1, 0], [2, 0]]"
4b45Myrk,"[3, 1]","[[1, 0], [2, 1]]"
pnLdnL7l,"[2, 0]","[[0, 0], [2, 0]]"
6PFcm5n5,,"[[0, 0], [1, 1], [0, 1]]"
hzRIg3FE,"[1, 0]","[[0, 0], [1, 0]]"
Q3PwoIx0,"[2, 1]","[[1, 0], [1, 1]]"
MejyzeCl,"[0, 3]","[[0, 1], [0, 2]]"
CM01tcZK,,"[[0, 0], [0, 0], [1, 0]]"
0t6POnQ8,"[8, 0]","[[4, 0], [4, 0]]"
4KutZERf,"[3, 2]","[[0, 0], [3, 2]]"
MH35bjC3,"[2, 1]",
KQ4el6ld,"[2, 1]","[[1, 1], [1, 0]]"
Gf7hrJ48,,"[[0, 0], [0, 0], [1, 0]]"
vLpTrZmj,,"[[2, 1], [0, 1], [3, 0]]"
l4N15bPm,"[0, 4]","[[0, 3], [0, 1]]"
O0K6KFC1,"[0, 1]","[[0, 0], [0, 1]]"
C2GgloXb,"[2, 1]","[[1, 0], [1, 1]]"
jDa5uHlR,"[0, 4]","[[0, 2], [0, 2]]"
zaGAlfRs,"[4, 0]","[[3, 0], [1, 0]]"
UcBdswKE,"[1, 2]","[[0, 1], [1, 1]]"
r5iXzycr,"[1, 0]","[[1, 0], [0, 0]]"
0h4BLaXD,"[2, 1]","[[0, 1], [2, 0]]"
2Vwx7Unk,"[2, 3]","[[1, 0], [1, 3]]"
l436BPdO,"[2, 2]","[[0, 0], [2, 2]]"
tMxt6l2e,"[2, 0]","[[1, 0], [1, 0]]"
2BHTy9Dq,"[1, 3]","[[0, 2], [1, 1]]"
IT4i49Ye,"[1, 1]","[[1, 0], [0, 1]]"
UqndL19m,,
2TOj66RH,"[3, 0]","[[2, 0], [1, 0]]"
IwYWZynF,"[1, 0]","[[1, 0], [0, 0]]"
OvHFRDge,"[2, 0]","[[0, 0], [2, 0]]"
lrEI3D5J,"[0, 3]","[[0, 0], [0, 3]]"
beIa4pdU,"[2, 1]","[[2, 0], [0, 1]]"
2oIM2XKP,"[1, 4]","[[0, 1], [1, 3]]"
61Dw3tF8,"[1, 1]","[[1, 1], [0, 0]]"
vXS0GjkP,"[0, 4]","[[0, 1], [0, 3]]"
xABGQIjB,"[4, 0]","[[3, 0], [1, 0]]"
nDYqyRQi,"[0, 3]","[[0, 0], [0, 3]]"
WO4VH3QT,"[2, 1]","[[0, 0], [2, 1]]"
C4qGqXdj,"[5, 1]","[[3, 1], [2, 0]]"
Is8Kfc5i,"[1, 0]","[[1, 0], [0, 0]]"
0Q3ujZJM,"[0, 2]","[[0, 1], [0, 1]]"
tdctsvyh,"[4, 1]","[[3, 0], [1, 1]]"
GCpocjRk,"[2, 0]","[[0, 0], [2, 0]]"
QDpaiRmU,"[1, 5]","[[1, 1], [0, 4]]"
EH1TsaEl,"[4, 2]","[[3, 1], [1, 1]]"
Wjoeh7YN,"[0, 2]","[[0, 0], [0, 2]]"
YNmJy33j,"[5, 3]","[[5, 1], [0, 2]]"
fTIQtJTf,"[1, 1]","[[0, 1], [1, 0]]"
xCzHizrD,"[0, 2]","[[0, 1], [0, 1]]"
nRy10nti,"[0, 1]","[[0, 1], [0, 0]]"
KztChGS6,"[0, 6]","[[0, 4], [0, 2]]"
tjOnVLUr,"[1, 1]","[[0, 1], [1, 0]]"
YNTBCGIn,"[2, 1]","[[2, 1], [0, 0]]"
2eRtMrhS,"[3, 0]","[[1, 0], [2, 0]]"
CESFBzYh,"[1, 2]","[[0, 1], [1, 1]]"
zDNjUupk,"[3, 0]","[[2, 0], [1, 0]]"
SKNgNXW4,"[1, 0]","[[0, 0], [1, 0]]"
6BMcMinB,"[4, 1]","[[3, 1], [1, 0]]"
8x49H20q,"[2, 2]","[[0, 2], [2, 0]]"
vP4cDYKu,"[1, 0]","[[0, 0], [1, 0]]"
0vg6BCkh,"[3, 0]","[[1, 0], [2, 0]]"
IF31Chzn,"[4, 0]","[[1, 0], [3, 0]]"
EscAAW4b,"[4, 1]","[[1, 1], [3, 0]]"
GrgIyWFQ,"[3, 5]","[[0, 3], [3, 2]]"
rTqlLUCd,"[3, 1]","[[1, 0], [2, 1]]"
4WHFwbpL,"[1, 2]","[[0, 0], [1, 2]]"
bDTL3JhM,"[2, 2]","[[2, 1], [0, 1]]"
2ozD5uO9,"[2, 2]","[[1, 0], [1, 2]]"
nNo5CXSr,"[0, 4]","[[0, 1], [0, 3]]"
00CsJUmU,"[3, 1]","[[2, 1], [1, 0]]"
xYinmOTr,"[3, 0]","[[2, 0], [1, 0]]"
rVffo2be,"[0, 2]","[[0, 1], [0, 1]]"
CCL5RglG,"[2, 0]","[[0, 0], [2, 0]]"
2DdzghYH,"[2, 2]","[[0, 1], [2, 1]]"
rBA4yQ2p,"[1, 4]","[[1, 1], [0, 3]]"
l81fbmAc,"[1, 1]","[[1, 1], [0, 0]]"
WWjac7P3,"[3, 2]","[[3, 1], [0, 1]]"
M198zpIj,"[4, 2]","[[2, 1], [2, 1]]"
pze3dRvA,"[1, 2]","[[0, 0], [1, 2]]"
AH2jaTfi,"[2, 0]","[[1, 0], [1, 0]]"
vcf7eofG,"[2, 3]","[[1, 1], [1, 2]]"
ImgBf59M,"[2, 2]","[[1, 2], [1, 0]]"
zRfHhV7H,"[9, 0]","[[5, 0], [4, 0]]"
z3UGx6Dt,"[0, 0]","[[0, 0], [0, 0]]"
dxa6I2SO,"[1, 1]","[[0, 0], [1, 1]]"
UPTKyQSn,"[2, 1]","[[1, 1], [1, 0]]"
Io02JrDI,"[0, 2]","[[0, 1], [0, 1]]"
Ygrksn5P,"[0, 3]","[[0, 2], [0, 1]]"
x0AZMmz0,"[1, 0]","[[1, 0], [0, 0]]"
O6XRCkb9,"[0, 0]","[[0, 0], [0, 0]]"
Ob51BXd3,"[1, 0]","[[0, 0], [1, 0]]"
Us7jB47m,"[0, 7]","[[0, 1], [0, 6]]"
ddHrzFs6,"[1, 0]","[[0, 0], [1, 0]]"
4MKjYhCI,"[0, 1]","[[0, 0], [0, 1]]"
0r38jzSn,"[1, 0]","[[0, 0], [1, 0]]"
6L34iGCt,"[1, 2]","[[0, 1], [1, 1]]"
EXRwyeSa,"[5, 0]","[[2, 0], [3, 0]]"
vZ1Ckfsg,"[0, 0]","[[0, 0], [0, 0]]"
hQ3Ysscg,"[2, 2]","[[1, 1], [1, 1]]"
Mi8ZnMya,"[3, 0]","[[0, 0], [3, 0]]"
bmpvV0dh,"[3, 3]","[[0, 1], [3, 2]]"
xp6yiPZ3,"[1, 2]","[[1, 0], [0, 2]]"
rN6Xi5Kc,,"[[1, 1], [0, 0], [0, 1]]"
MNU5G5HR,"[2, 1]","[[1, 0], [1, 1]]"
4W7Tho5i,"[0, 1]","[[0, 0], [0, 1]]"
6JxNadz8,"[2, 1]","[[0, 1], [2, 0]]"
KMQ4OuD8,"[0, 1]","[[0, 1], [0, 0]]"
pIs1xxh0,"[2, 1]","[[1, 1], [1, 0]]"
CIQlRc3S,"[1, 1]","[[1, 0], [0, 1]]"
hC8HMHBq,"[1, 5]","[[0, 3], [1, 2]]"
Yoh2EUMd,"[0, 0]","[[0, 0], [0, 0]]"
vV545dbp,"[2, 1]","[[1, 0], [1, 1]]"
hY984GDj,"[5, 1]","[[1, 0], [4, 1]]"
6ybjTaji,"[0, 5]","[[0, 4], [0, 1]]"
pSdfSJ5c,"[0, 1]","[[0, 0], [0, 1]]"
80GDih11,"[1, 1]","[[0, 1], [1, 0]]"
ARR5IL5H,"[2, 0]","[[2, 0], [0, 0]]"
2VJ3Eay9,"[1, 0]","[[1, 0], [0, 0]]"
hjLvBIYo,"[2, 0]","[[0, 0], [2, 0]]"
0GOn9d3b,"[0, 2]",
MPPrAxlh,"[1, 1]",
ruEi8GI4,"[4, 3]","[[1, 1], [3, 2]]"
lxHa6fmH,"[0, 0]","[[0, 0], [0, 0]]"
fFHe7zYA,"[2, 1]",
vB9gjI1G,"[1, 0]","[[0, 0], [1, 0]]"
I18ckxHM,"[3, 1]","[[1, 0], [2, 1]]"
xnkUqGvp,"[3, 0]","[[1, 0], [2, 0]]"
zw32ldWS,"[3, 2]","[[2, 1], [1, 1]]"
W8lYrzfj,"[2, 2]","[[1, 0], [1, 2]]"
pChxrf9d,"[3, 1]","[[1, 0], [2, 1]]"
KrpS4HG9,"[1, 0]","[[1, 0], [0, 0]]"
Q7VO5c13,"[1, 2]","[[0, 0], [1, 2]]"
nHWK6wnc,"[4, 1]","[[1, 1], [3, 0]]"
OEJ0yx4O,"[3, 0]","[[1, 0], [2, 0]]"
Max4zdJU,"[1, 0]","[[1, 0], [0, 0]]"
bLD9eukt,,
xCCDfa4n,"[2, 0]","[[1, 0], [1, 0]]"
fm7IgJJh,"[0, 1]","[[0, 0], [0, 1]]"
Yw6MhwZb,"[2, 1]","[[0, 1], [2, 0]]"
jmMHhKJE,"[2, 3]","[[1, 1], [1, 2]]"
4K7RPhLp,"[5, 3]","[[4, 3], [1, 0]]"
rB6VOCzi,"[1, 1]","[[0, 1], [1, 0]]"
8OGMivZK,"[1, 2]","[[0, 1], [1, 1]]"
0WAjCQX1,"[6, 1]","[[2, 1], [4, 0]]"
pWb4X4vi,"[1, 0]","[[0, 0], [1, 0]]"
2ohmD6Ie,"[2, 4]","[[0, 0], [2, 4]]"
nFFQjblR,"[2, 3]","[[1, 2], [1, 1]]"
EZbYzAA2,"[0, 1]","[[0, 0], [0, 1]]"
4f2hnIdr,"[1, 2]","[[1, 0], [0, 2]]"
2uLeoxCl,"[2, 1]","[[0, 0], [2, 1]]"
8W8PWTwC,,
MF6DZVgg,"[2, 3]",
065HYk9a,"[2, 0]",
fT4LX9O5,"[0, 1]",
jebUVmgI,"[0, 1]",
MFpk5wan,"[5, 0]","[[3, 0], [2, 0]]"
8Cto6Jqt,"[3, 1]","[[0, 0], [3, 1]]"
rkFvozEU,"[4, 2]","[[1, 1], [3, 1]]"
Gxpg4cEh,"[3, 2]","[[1, 2], [2, 0]]"
C4w22yq5,"[1, 2]","[[1, 1], [0, 1]]"
jex61ebB,"[1, 0]","[[0, 0], [1, 0]]"
fTrc3HTb,"[2, 0]","[[0, 0], [2, 0]]"
fR3wqmrp,"[1, 1]","[[1, 0], [0, 1]]"
KM4nwJpN,"[5, 2]","[[3, 0], [2, 2]]"
M1BuDGBD,,"[[1, 0], [1, 2], [0, 1]]"
AXEgxDtt,"[3, 1]","[[2, 1], [1, 0]]"
UJtXKBB5,"[1, 0]","[[1, 0], [0, 0]]"
OttyKVQB,"[2, 3]","[[1, 0], [1, 3]]"
lODcyXen,"[3, 0]","[[0, 0], [3, 0]]"
xppuJktI,"[0, 3]","[[0, 2], [0, 1]]"
jTsTLida,"[1, 3]","[[0, 3], [1, 0]]"
baYmHTAU,,"[[1, 1], [0, 0], [5, 4]]"
K8ZqI9eO,"[2, 0]","[[0, 0], [2, 0]]"
QXUSUTCC,"[0, 1]","[[0, 0], [0, 1]]"
vyZWTmSI,"[0, 2]","[[0, 1], [0, 1]]"
bZlfzb7G,"[0, 3]","[[0, 3], [0, 0]]"
f1r3YyxT,"[1, 2]","[[1, 0], [0, 2]]"
dAUUTepp,"[3, 0]","[[2, 0], [1, 0]]"
jXTYSFaj,"[2, 1]","[[0, 0], [2, 1]]"
Ugcwvt8i,"[1, 0]","[[0, 0], [1, 0]]"
8pdsw0Nc,"[5, 2]","[[3, 1], [2, 1]]"
j9onxKx4,"[3, 0]","[[2, 0], [1, 0]]"
xQmbZHMM,"[1, 3]","[[1, 1], [0, 2]]"
4CkjyvhA,"[2, 1]","[[1, 0], [1, 1]]"
61JWX2Ph,"[1, 1]","[[0, 0], [1, 1]]"
SAKSYrAn,"[0, 0]","[[0, 0], [0, 0]]"
fNkEFL9O,"[1, 1]","[[1, 1], [0, 0]]"
GWjAG1fI,"[1, 4]","[[1, 2], [0, 2]]"
8Qwdv5nP,"[1, 2]","[[0, 1], [1, 1]]"
pnVNZOft,"[0, 2]","[[0, 1], [0, 1]]"
AJL9INP5,"[1, 1]","[[1, 0], [0, 1]]"
Wj3y9apm,"[0, 0]","[[0, 0], [0, 0]]"
EZfh5HqC,"[2, 2]","[[2, 1], [0, 1]]"
nmg03eEO,"[3, 1]","[[1, 0], [2, 1]]"
0Wjl6cU5,"[2, 3]","[[1, 0], [1, 3]]"
I71q7wFa,"[2, 1]","[[1, 0], [1, 1]]"
vH2u8Jag,"[1, 0]","[[0, 0], [1, 0]]"
h04X9uVt,"[6, 0]","[[2, 0], [4, 0]]"
GdM5J3Aa,"[1, 3]","[[0, 1], [1, 2]]"
lAKDHsuC,"[2, 3]","[[1, 2], [1, 1]]"
O4xqSviP,"[0, 2]","[[0, 1], [0, 1]]"
WKEwafCq,"[0, 1]","[[0, 1], [0, 0]]"
jadKqOFK,"[2, 0]","[[0, 0], [2, 0]]"
UkeOrrVQ,"[0, 1]","[[0, 0], [0, 1]]"
nVsjv2wr,"[1, 2]","[[1, 2], [0, 0]]"
0YofwMhl,,
rcyaxt8f,"[2, 3]","[[1, 2], [1, 1]]"
OYwKb4Rb,"[3, 1]","[[2, 0], [1, 1]]"
dfhdk4pU,"[1, 2]","[[1, 1], [0, 1]]"
SE0ugno5,"[6, 0]","[[4, 0], [2, 0]]"
hMoXL0WS,"[1, 2]","[[1, 1], [0, 1]]"
EXLAAVwD,"[4, 1]","[[2, 1], [2, 0]]"
CfQft6Ze,"[4, 2]","[[1, 1], [3, 1]]"
8n3k3xad,"[2, 2]","[[2, 1], [0, 1]]"
Ue4o4Iqj,"[4, 0]","[[2, 0], [2, 0]]"
hOKBjAW9,"[3, 1]","[[2, 0], [1, 1]]"
4tww1BIA,"[2, 4]","[[1, 1], [1, 3]]"
2Ret0VXG,"[0, 1]","[[0, 0], [0, 1]]"
fPzLhmQj,"[5, 0]","[[2, 0], [3, 0]]"
dlepakmN,"[1, 3]","[[0, 1], [1, 2]]"
GYyHgTAp,"[0, 3]","[[0, 1], [0, 2]]"
zuflb92T,,"[[0, 4], [0, 0]]"
CIK2mQ4S,"[2, 1]","[[1, 1], [1, 0]]"
tIloh97f,"[2, 1]",
Eq2hjmx7,"[1, 1]",
K8mkiTM0,"[1, 3]",
zT5gd8KP,"[1, 0]","[[1, 0], [0, 0]]"
WEuIZYkb,"[2, 0]","[[1, 0], [1, 0]]"
MJbdkHFo,"[1, 2]","[[1, 2], [0, 0]]"
rZn5mepb,"[2, 2]","[[1, 1], [1, 1]]"
0Ac0lyVi,"[1, 5]","[[1, 1], [0, 4]]"
dxi9nFa4,"[1, 2]","[[1, 1], [0, 1]]"
jajDoZEA,"[2, 2]","[[1, 0], [1, 2]]"
UkkHpgUG,"[3, 0]","[[2, 0], [1, 0]]"
ANN5vJhr,"[1, 1]","[[0, 0], [1, 1]]"
lEM9ww8l,"[3, 0]","[[2, 0], [1, 0]]"
pSdHq4Ln,"[1, 1]","[[1, 1], [0, 0]]"
OIeLrOzg,"[0, 3]","[[0, 1], [0, 2]]"
WdrAXQn9,"[1, 1]","[[0, 1], [1, 0]]"
KKanExnl,"[3, 1]","[[1, 0], [2, 1]]"
Qc0rFIWs,"[0, 1]","[[0, 0], [0, 1]]"
lYxFWp2F,"[1, 1]","[[0, 1], [1, 0]]"
I5IkDd1f,"[1, 0]","[[0, 0], [1, 0]]"
jJKxWWPH,"[1, 0]","[[1, 0], [0, 0]]"
ptKtVjuO,"[1, 0]","[[1, 0], [0, 0]]"
dGNpUAfU,"[0, 1]","[[0, 0], [0, 1]]"
MwkikfQu,"[1, 2]","[[0, 1], [1, 1]]"
0UmelEun,"[2, 0]","[[0, 0], [2, 0]]"
U3hamYfh,"[0, 3]","[[0, 1], [0, 2]]"
EXHoeiwP,"[2, 4]","[[0, 1], [2, 3]]"
vywOq3Ye,"[0, 3]","[[0, 1], [0, 2]]"
pKluhRQF,"[1, 4]","[[1, 2], [0, 2]]"
IRySrNm2,"[0, 4]","[[0, 2], [0, 2]]"
fcvlDSOD,"[2, 3]","[[1, 0], [1, 3]]"
6Tkyg7B9,"[0, 1]","[[0, 0], [0, 1]]"
QcA9BWL9,"[1, 4]","[[1, 1], [0, 3]]"
86TfzFTj,"[2, 1]","[[1, 1], [1, 0]]"
fy9yI6KG,"[3, 0]","[[1, 0], [2, 0]]"
6NpXyPlg,"[0, 0]","[[0, 0], [0, 0]]"
zRA9lvtq,"[0, 1]","[[0, 1], [0, 0]]"
AueT88Rc,"[0, 0]","[[0, 0], [0, 0]]"
xEZj1HPl,"[0, 1]","[[0, 0], [0, 1]]"
WtK9i467,"[2, 2]","[[1, 0], [1, 2]]"
4dylaHU5,"[2, 1]","[[1, 1], [1, 0]]"
lvjlbf6P,"[0, 3]","[[0, 1], [0, 2]]"
Qee3EW9S,"[0, 1]","[[0, 0], [0, 1]]"
0lnV9jIq,"[0, 1]","[[0, 1], [0, 0]]"
fBoZ8AXk,"[1, 0]","[[0, 0], [1, 0]]"
Y1pw8Und,"[0, 0]","[[0, 0], [0, 0]]"
lASPVXv3,"[1, 0]","[[1, 0], [0, 0]]"
AJTLWDPd,"[1, 0]","[[1, 0], [0, 0]]"
jTZ1Fg4A,"[2, 1]","[[2, 0], [0, 1]]"
Iobhuv80,"[2, 1]","[[0, 0], [2, 1]]"
4t3CpZqt,"[0, 1]","[[0, 0], [0, 1]]"
fi9OvjXS,"[2, 2]","[[1, 2], [1, 0]]"
rLD8vALR,"[1, 1]","[[0, 1], [1, 0]]"
Kt5zzUTr,"[2, 2]","[[0, 1], [2, 1]]"
E34vZmqk,"[3, 1]","[[1, 1], [2, 0]]"
hf3rY7be,"[2, 2]","[[1, 0], [1, 2]]"
QmiCEr48,"[2, 1]","[[1, 0], [1, 1]]"
8ruswHT0,"[2, 1]","[[1, 1], [1, 0]]"
xf1bouMK,"[1, 3]","[[0, 3], [1, 0]]"
rLk3RJUl,"[0, 1]","[[0, 0], [0, 1]]"
jP1igTJb,"[0, 2]","[[0, 2], [0, 0]]"
WtWcm1i8,"[0, 2]","[[0, 0], [0, 2]]"
pn1ehmZ4,"[0, 1]","[[0, 0], [0, 1]]"
E7E58yTK,"[1, 1]","[[1, 1], [0, 0]]"
jZr7obUQ,"[1, 3]","[[0, 1], [1, 2]]"
8EVYtIxr,"[0, 4]","[[0, 2], [0, 2]]"
4tPsud7f,"[2, 2]","[[1, 1], [1, 1]]"
MHZxtxhl,"[0, 2]","[[0, 0], [0, 2]]"
rXNovGM0,"[1, 0]","[[0, 0], [1, 0]]"
8zqalJt9,"[5, 0]","[[3, 0], [2, 0]]"
WS8ST6HF,"[3, 1]","[[1, 1], [2, 0]]"
Kj0tLzsj,"[3, 1]","[[0, 1], [3, 0]]"
Y7TLUy3S,"[1, 0]","[[0, 0], [1, 0]]"
vk6lQeBq,"[1, 2]","[[1, 0], [0, 2]]"
2DGqEz3G,"[3, 0]","[[0, 0], [3, 0]]"
