ID,Result,Partial results
Q9tnu5xn,"[7, 0]","[[4, 0], [3, 0]]"
SONrtoNu,"[1, 0]","[[1, 0], [0, 0]]"
KWujvPih,"[8, 1]","[[5, 0], [3, 1]]"
bNvfwq7b,"[2, 1]","[[1, 0], [1, 1]]"
fkY2yNyB,"[2, 5]","[[0, 2], [2, 3]]"
GbZbx3M4,"[4, 0]","[[2, 0], [2, 0]]"
nJNg0V14,"[5, 0]","[[3, 0], [2, 0]]"
Y3H7Dc9m,"[7, 1]","[[4, 1], [3, 0]]"
pQia50HQ,,
0xIeouQf,"[2, 0]","[[0, 0], [2, 0]]"
d4B4qJf7,,"[[1, 0], [2, 1], [0, 1]]"
A7wHhNXK,"[1, 1]","[[0, 1], [1, 0]]"
p8bT8ZNI,"[3, 0]","[[1, 0], [2, 0]]"
tAhUavul,"[4, 0]","[[1, 0], [3, 0]]"
roH2b9WG,"[2, 2]","[[1, 2], [1, 0]]"
ltqkeGgJ,"[3, 0]","[[0, 0], [3, 0]]"
OhAKAeg6,"[2, 0]","[[0, 0], [2, 0]]"
GSpscxP6,"[0, 2]","[[0, 1], [0, 1]]"
AmFvGjVo,"[3, 0]","[[0, 0], [3, 0]]"
fuFmm1er,,"[[0, 0], [1, 0], [3, 0]]"
lbbj7MnE,,"[[1, 0], [0, 0], [2, 0]]"
4lRyJJoQ,"[0, 0]","[[0, 0], [0, 0]]"
b7xvpoCc,"[3, 1]","[[2, 0], [1, 1]]"
ldVjsqdG,"[2, 0]","[[2, 0], [0, 0]]"
4pH4Voc4,"[0, 3]","[[0, 1], [0, 2]]"
xImwgteS,"[0, 1]","[[0, 1], [0, 0]]"
OEqZgMuM,"[0, 1]","[[0, 0], [0, 1]]"
fcz5l03q,"[0, 1]","[[0, 1], [0, 0]]"
YmZ8mKIk,"[2, 2]","[[1, 1], [1, 1]]"
hUDZYK3d,"[2, 1]","[[0, 0], [2, 1]]"
4KZlsdPJ,"[2, 0]","[[1, 0], [1, 0]]"
rBtanb1R,"[1, 1]","[[1, 0], [0, 1]]"
lC5PDddT,"[2, 2]","[[0, 0], [2, 2]]"
CGkuPn7R,"[1, 1]","[[1, 1], [0, 0]]"
4hgq5RFe,"[0, 1]","[[0, 0], [0, 1]]"
bizzSlN8,"[0, 1]","[[0, 1], [0, 0]]"
MiQOoNid,"[0, 1]","[[0, 1], [0, 0]]"
l09n5BhH,"[0, 1]","[[0, 0], [0, 1]]"
r1RKn3xj,"[2, 2]","[[0, 1], [2, 1]]"
0xxGmqNq,"[2, 1]","[[0, 1], [2, 0]]"
jm6QWY2D,"[1, 0]","[[1, 0], [0, 0]]"
Cd7MXEm7,"[1, 1]","[[1, 1], [0, 0]]"
xplLtJIg,"[1, 2]",
Ox8pmLuQ,"[3, 1]",
pWblRoJr,"[3, 1]","[[2, 0], [1, 1]]"
AqqxsumP,"[1, 1]","[[1, 1], [0, 0]]"
ChV3xaet,"[2, 3]","[[1, 2], [1, 1]]"
MTkfIeAO,"[1, 2]",
fHK8yJAn,"[2, 1]","[[0, 1], [2, 0]]"
nPxGZdua,"[1, 1]","[[0, 1], [1, 0]]"
h2wCzwQh,"[7, 1]","[[5, 0], [2, 1]]"
QFyKYGf5,"[2, 1]","[[1, 1], [1, 0]]"
6Ty6MuJP,,"[[0, 0], [0, 0], [1, 3]]"
KCF4IB0f,"[2, 0]","[[1, 0], [1, 0]]"
naHdKXVs,,"[[0, 0], [0, 0], [2, 4]]"
tMG0Jiol,"[2, 0]","[[0, 0], [2, 0]]"
M9usg5vD,"[1, 1]","[[0, 1], [1, 0]]"
00vohPgJ,"[6, 1]","[[3, 0], [3, 1]]"
25ITG8WJ,"[1, 0]","[[0, 0], [1, 0]]"
G8MXFSoQ,"[1, 3]","[[1, 1], [0, 2]]"
