ID,Result,Partial results
2J7u0zbB,"[2, 2]","[[1, 1], [1, 1]]"
6iEW1dTb,"[2, 0]","[[1, 0], [1, 0]]"
dt7qafDH,"[1, 0]","[[0, 0], [1, 0]]"
va1Jhhjo,"[0, 1]","[[0, 0], [0, 1]]"
OS8y1Gr5,"[3, 1]","[[0, 0], [3, 1]]"
GnwJO2Tr,"[0, 0]","[[0, 0], [0, 0]]"
OCxNNMrk,"[1, 0]","[[0, 0], [1, 0]]"
EwiiTrLR,"[3, 1]","[[1, 0], [2, 1]]"
bVUZKKS7,"[1, 0]","[[1, 0], [0, 0]]"
23yRMtbe,"[2, 1]","[[2, 0], [0, 1]]"
jPHLrOKE,,
CYIHq458,"[1, 0]","[[0, 0], [1, 0]]"
pSQVL0D1,"[0, 1]","[[0, 0], [0, 1]]"
80CQsrzL,"[1, 0]","[[1, 0], [0, 0]]"
Kdc3f5KU,"[1, 1]","[[0, 1], [1, 0]]"
MBv0eo5O,"[3, 1]","[[2, 0], [1, 1]]"
SluddRkI,"[3, 0]","[[3, 0], [0, 0]]"
QwABbHWo,"[6, 1]","[[3, 1], [3, 0]]"
nmB7acHu,,
fDEFcynh,"[1, 2]","[[1, 2], [0, 0]]"
6NruMAcc,"[2, 0]","[[0, 0], [2, 0]]"
GKjhJmQI,"[2, 0]","[[0, 0], [2, 0]]"
fBkdI7uP,"[0, 1]","[[0, 1], [0, 0]]"
dWsVQaqP,"[0, 1]","[[0, 0], [0, 1]]"
hpfXAqZp,"[2, 2]","[[1, 1], [1, 1]]"
2FyOX6tb,"[8, 0]","[[6, 0], [2, 0]]"
jy85FPQT,"[1, 4]","[[0, 2], [1, 2]]"
8hxKYnRi,"[1, 1]","[[1, 0], [0, 1]]"
fkYFZSBo,"[1, 0]","[[0, 0], [1, 0]]"
MJWkLRen,,
AqToM7tt,,
4rMfKoBh,,
rZKbJ5Qb,,
C8P2IPu5,,
jaO6HqeB,,
YNDBG3AH,,
nRHFFNPN,,
xCdn3QNq,"[0, 1]","[[0, 0], [0, 1]]"
fmii2pwj,"[2, 4]","[[1, 1], [1, 3]]"
nsvwQmVd,"[2, 1]","[[0, 0], [2, 1]]"
pSdtP7p3,"[3, 0]","[[2, 0], [1, 0]]"
MLRjesbk,"[1, 2]","[[1, 1], [0, 1]]"
lrbmf1De,"[1, 6]","[[1, 3], [0, 3]]"
txoZH452,"[3, 0]","[[1, 0], [2, 0]]"
Uq8UrbfH,"[2, 0]","[[0, 0], [2, 0]]"
8z7YsI9N,"[0, 4]","[[0, 1], [0, 3]]"
jadwsxPT,"[1, 7]","[[0, 2], [1, 5]]"
KEzi0aPi,"[8, 2]","[[4, 1], [4, 1]]"
SKm5xdXp,"[0, 2]","[[0, 1], [0, 1]]"
tOym1uAo,"[0, 0]","[[0, 0], [0, 0]]"
YHAvI9Ke,"[0, 1]","[[0, 0], [0, 1]]"
xn1UvXR8,"[0, 2]","[[0, 1], [0, 1]]"
KAjZwisF,"[0, 2]","[[0, 2], [0, 0]]"
GtGZIk5k,"[0, 1]","[[0, 0], [0, 1]]"
QBcQuDC2,"[1, 0]","[[1, 0], [0, 0]]"
C89rHTZ1,"[0, 6]","[[0, 3], [0, 3]]"
tdJdJ3Ml,"[0, 3]","[[0, 1], [0, 2]]"
n9lcHsi1,"[1, 1]","[[0, 1], [1, 0]]"
KnI0INye,"[0, 0]","[[0, 0], [0, 0]]"
h6umv5bE,"[2, 2]","[[0, 2], [2, 0]]"
Qam1G167,"[2, 2]","[[1, 2], [1, 0]]"
v3yquoq8,"[1, 0]","[[0, 0], [1, 0]]"
r7KwmAog,"[5, 0]",
nuRUlWGt,"[1, 1]","[[0, 1], [1, 0]]"
U3GZmjWn,"[1, 0]","[[0, 0], [1, 0]]"
xdjxwyKF,"[0, 1]","[[0, 1], [0, 0]]"
b5iYwH49,"[1, 0]","[[0, 0], [1, 0]]"
h696L8lr,"[2, 0]","[[2, 0], [0, 0]]"
4rhUvck3,"[3, 1]","[[2, 0], [1, 1]]"
bHs8vNxj,"[2, 1]","[[0, 1], [2, 0]]"
Ghh3u3Nq,"[3, 0]","[[1, 0], [2, 0]]"
CKoCwshd,"[1, 3]","[[1, 1], [0, 2]]"
QNZg2QUd,"[5, 1]","[[3, 0], [2, 1]]"
tA25KWUC,"[4, 0]","[[2, 0], [2, 0]]"
K019JjpJ,"[8, 1]","[[2, 0], [6, 1]]"
bRAlOEVm,"[1, 2]","[[0, 0], [1, 2]]"
Yq31LCF6,"[0, 1]","[[0, 0], [0, 1]]"
M5uhrzNJ,"[0, 1]","[[0, 1], [0, 0]]"
fg4cMh00,"[0, 0]","[[0, 0], [0, 0]]"
CUEhNYpf,"[1, 1]","[[0, 0], [1, 1]]"
44BpPfGs,"[4, 0]","[[2, 0], [2, 0]]"
hn1gPnTi,,
zBjbO6rb,,
U55MEgB1,"[2, 0]","[[0, 0], [2, 0]]"
MRhAL4SG,,
v3mFKOsN,,
xt8Ot9aI,"[0, 1]","[[0, 1], [0, 0]]"
lEf2NQc4,"[1, 0]","[[1, 0], [0, 0]]"
fDS7QjAD,"[2, 0]","[[1, 0], [1, 0]]"
KWuAcGAN,"[0, 1]","[[0, 0], [0, 1]]"
EguEdzQT,"[1, 1]","[[0, 1], [1, 0]]"
tts6bdeH,"[2, 0]","[[2, 0], [0, 0]]"
UHZB48MQ,"[2, 1]","[[2, 1], [0, 0]]"
WQLw0SUs,"[1, 1]","[[1, 0], [0, 1]]"
viPob6af,"[2, 0]","[[0, 0], [2, 0]]"
MFEjcQE0,"[2, 1]","[[1, 0], [1, 1]]"
zJIfdpU6,"[1, 2]","[[0, 2], [1, 0]]"
8WG2fObJ,"[3, 1]","[[2, 1], [1, 0]]"
UuIbe4qD,"[2, 0]","[[1, 0], [1, 0]]"
00Qsanpl,"[1, 2]","[[1, 1], [0, 1]]"
Ai9y3G2J,"[1, 1]","[[1, 1], [0, 0]]"
hCGMuZAG,"[4, 2]","[[2, 2], [2, 0]]"
nTfa5c3K,"[4, 1]","[[4, 0], [0, 1]]"
tjf34HIQ,"[4, 0]","[[2, 0], [2, 0]]"
ratVayRs,"[2, 0]","[[2, 0], [0, 0]]"
OW6VCcOC,,"[[2, 0], [0, 2], [4, 3]]"
h0A58C77,"[0, 2]","[[0, 1], [0, 1]]"
63bmXep8,,"[[2, 1], [0, 1], [1, 3]]"
OAcSbetl,"[3, 2]","[[1, 2], [2, 0]]"
IVmMZKVP,,"[[1, 1], [1, 1], [3, 5]]"
21dWcFef,"[0, 2]","[[0, 1], [0, 1]]"
zBzlVvvs,"[1, 0]","[[1, 0], [0, 0]]"
pfciWFaE,"[1, 4]","[[1, 1], [0, 3]]"
2N5ZBHwJ,"[3, 0]","[[1, 0], [2, 0]]"
2VidVZEK,"[2, 0]","[[2, 0], [0, 0]]"
fspfn9wa,"[2, 0]","[[0, 0], [2, 0]]"
YXrboTh5,"[1, 3]",
j9w3pm8B,"[1, 2]",
Uax7q7NH,"[2, 1]",
Me0zSvhp,"[2, 1]","[[1, 1], [1, 0]]"
px861GF8,"[2, 2]","[[2, 1], [0, 1]]"
6o922d02,"[0, 1]","[[0, 1], [0, 0]]"
2DrMg4d2,"[1, 3]","[[1, 1], [0, 2]]"
EBCA0zVE,"[2, 0]","[[1, 0], [1, 0]]"
h2BEafpL,"[3, 2]","[[3, 0], [0, 2]]"
zR0JbEaR,"[3, 0]","[[1, 0], [2, 0]]"
dU6pfY7r,"[2, 3]","[[1, 1], [1, 2]]"
4nnXp7r1,"[1, 0]","[[1, 0], [0, 0]]"
YLjypRc7,"[2, 3]","[[2, 1], [0, 2]]"
CCkuqoDD,"[1, 0]","[[0, 0], [1, 0]]"
E538Bxp3,"[1, 2]","[[0, 1], [1, 1]]"
dUhDAda9,"[0, 0]","[[0, 0], [0, 0]]"
I1IAZalR,"[0, 3]","[[0, 0], [0, 3]]"
zs5xVJdr,"[2, 1]","[[1, 0], [1, 1]]"
rqQcx248,"[1, 2]","[[1, 1], [0, 1]]"
MZO1yMJE,"[2, 0]","[[1, 0], [1, 0]]"
vBJ6ztZK,"[1, 1]","[[1, 0], [0, 1]]"
rPiYkzib,"[2, 1]","[[1, 1], [1, 0]]"
MFjxkf64,"[2, 1]","[[0, 0], [2, 1]]"
UufpmYzH,"[1, 1]","[[0, 1], [1, 0]]"
jketlELA,"[0, 0]","[[0, 0], [0, 0]]"
23Ld0a9q,"[0, 1]","[[0, 0], [0, 1]]"
tfK0aJOk,"[0, 2]","[[0, 1], [0, 1]]"
bVE5bwvd,"[0, 0]","[[0, 0], [0, 0]]"
xMD9ccg2,"[1, 1]","[[1, 0], [0, 1]]"
4S5eL0o9,"[1, 2]","[[1, 1], [0, 1]]"
jP1iMtW2,"[1, 2]","[[0, 0], [1, 2]]"
WO8IVFx4,"[3, 0]","[[2, 0], [1, 0]]"
EmEDWeNc,"[2, 1]","[[1, 1], [1, 0]]"
zcF9Xy8i,"[1, 0]","[[0, 0], [1, 0]]"
0llo1Wc9,"[0, 1]","[[0, 1], [0, 0]]"
Eihk0jDF,"[1, 0]","[[1, 0], [0, 0]]"
6mGIrOsr,"[2, 3]",
jeK6tRBO,"[0, 3]","[[0, 1], [0, 2]]"
EmtlvdyR,"[2, 1]","[[0, 0], [2, 1]]"
6uYFZFqr,"[1, 1]","[[0, 1], [1, 0]]"
pWWJYZbl,"[5, 1]","[[1, 1], [4, 0]]"
SfMOXgEf,"[1, 0]","[[0, 0], [1, 0]]"
tbQSWDT0,"[2, 0]","[[1, 0], [1, 0]]"
EBOzVibD,"[2, 1]","[[2, 1], [0, 0]]"
zLPWVXr7,"[4, 3]","[[2, 2], [2, 1]]"
0EqBgyyE,"[2, 1]","[[2, 1], [0, 0]]"
vDKDGslP,"[4, 1]","[[2, 1], [2, 0]]"
63t6RNuq,"[0, 0]","[[0, 0], [0, 0]]"
pWdNZoY2,"[2, 0]","[[2, 0], [0, 0]]"
6ubJzSId,"[1, 1]","[[0, 0], [1, 1]]"
zLkzXqIL,"[2, 2]","[[1, 0], [1, 2]]"
hd0VXP2F,"[0, 1]","[[0, 1], [0, 0]]"
E51RY5m9,"[1, 0]","[[0, 0], [1, 0]]"
pfuAQsek,"[0, 0]","[[0, 0], [0, 0]]"
lOgvW3XR,"[0, 1]","[[0, 0], [0, 1]]"
27XxSZEd,"[6, 0]","[[4, 0], [2, 0]]"
z1ZUtb8N,"[1, 1]","[[0, 1], [1, 0]]"
lpyNrKwB,"[0, 3]","[[0, 2], [0, 1]]"
IPOZuINT,"[3, 1]","[[1, 1], [2, 0]]"
AgxJq0O4,"[2, 1]","[[0, 0], [2, 1]]"
dAzRsvgH,"[2, 1]","[[1, 0], [1, 1]]"
foG1yxWp,"[2, 2]","[[1, 2], [1, 0]]"
SUnEpt9b,"[3, 0]","[[2, 0], [1, 0]]"
8l4q0L8o,"[2, 0]","[[1, 0], [1, 0]]"
nu3mauOi,"[0, 3]","[[0, 1], [0, 2]]"
YwllyITu,"[1, 2]","[[0, 1], [1, 1]]"
hMysCPdd,"[2, 0]","[[1, 0], [1, 0]]"
C4HdXZS4,"[4, 1]","[[2, 0], [2, 1]]"
pdYYDoSq,"[1, 1]","[[0, 0], [1, 1]]"
8WA5VDcH,"[3, 1]","[[1, 0], [2, 1]]"
CUnhzxqn,"[1, 0]","[[0, 0], [1, 0]]"
Q7L0WgrB,"[4, 1]","[[4, 1], [0, 0]]"
viJlZebh,"[1, 1]","[[1, 0], [0, 1]]"
EVxwD5sj,"[3, 1]","[[2, 1], [1, 0]]"
QF9xlu0k,"[6, 0]","[[3, 0], [3, 0]]"
Kx9tmaFe,"[1, 2]","[[1, 2], [0, 0]]"
zoiTA272,"[2, 4]","[[1, 2], [1, 2]]"
bT7pnJU1,"[1, 2]","[[0, 1], [1, 1]]"
WnJHDNZd,"[3, 3]",
fVZYlvcd,"[4, 3]",
GvyVkKsj,"[0, 2]","[[0, 1], [0, 1]]"
AwILCsk3,"[1, 3]",
CpmCfQ3h,"[4, 0]","[[1, 0], [3, 0]]"
vqobUEFa,"[1, 4]",
Y5p2TYU5,"[3, 0]",
Cdq6ShpC,"[6, 1]",
UXwBRCaI,"[1, 1]",
OIyy2K0H,"[0, 1]","[[0, 0], [0, 1]]"
KpVq0bVT,"[0, 1]","[[0, 0], [0, 1]]"
MgHBeIwo,"[1, 0]","[[0, 0], [1, 0]]"
l09cJLVi,"[0, 1]","[[0, 1], [0, 0]]"
4Q81sbrf,"[4, 1]","[[1, 1], [3, 0]]"
b1N4tIc0,"[0, 3]","[[0, 0], [0, 3]]"
KGBDvdSC,"[1, 2]","[[0, 1], [1, 1]]"
YJFHwGsJ,"[4, 0]","[[2, 0], [2, 0]]"
nN3a2aKJ,"[5, 2]","[[2, 1], [3, 1]]"
tfpWEyZg,"[0, 1]","[[0, 1], [0, 0]]"
WKfdLwdQ,"[1, 0]","[[1, 0], [0, 0]]"
YTtOGc4s,"[0, 0]","[[0, 0], [0, 0]]"
OIZzEel0,"[2, 0]","[[1, 0], [1, 0]]"
Eq0iMJtK,"[0, 0]","[[0, 0], [0, 0]]"
KvGXv0Te,"[2, 2]","[[1, 1], [1, 1]]"
j5BTutEk,"[3, 2]","[[3, 0], [0, 2]]"
b7WlmOLF,"[0, 2]","[[0, 0], [0, 2]]"
KGXpl469,"[3, 1]","[[2, 0], [1, 1]]"
hUVhnryM,"[1, 2]","[[1, 0], [0, 2]]"
6XZdo2jS,"[0, 0]","[[0, 0], [0, 0]]"
hf1lkpi3,"[0, 1]","[[0, 0], [0, 1]]"
CECPtMbq,"[1, 1]","[[1, 1], [0, 0]]"
EDBLM2Rp,"[2, 0]","[[0, 0], [2, 0]]"
8CSxVQJ4,"[1, 1]","[[0, 0], [1, 1]]"
rVKkSO3N,"[3, 1]","[[2, 0], [1, 1]]"
xhKgRrJT,"[4, 3]","[[2, 3], [2, 0]]"
4vMoT4lH,"[4, 1]","[[2, 0], [2, 1]]"
f9l8p6Ji,"[4, 0]","[[2, 0], [2, 0]]"
GIk4on4o,"[2, 2]","[[1, 0], [1, 2]]"
n3RtUpZA,"[3, 0]","[[1, 0], [2, 0]]"
08YFvc3E,"[1, 2]","[[0, 0], [1, 2]]"
YsvIJeRl,"[1, 2]","[[0, 0], [1, 2]]"
69iPHZe1,"[3, 3]","[[1, 2], [2, 1]]"
p0jTGgB7,"[2, 0]","[[1, 0], [1, 0]]"
n5UBuwl8,"[1, 2]","[[1, 2], [0, 0]]"
CYxMIFte,"[0, 3]","[[0, 0], [0, 3]]"
EccoPH3R,"[0, 4]","[[0, 2], [0, 2]]"
jJlDKyCr,"[3, 3]","[[2, 1], [1, 2]]"
fB7R7dWh,"[1, 4]","[[0, 2], [1, 2]]"
tlLv3YpO,"[1, 1]","[[0, 0], [1, 1]]"
8zNW4fGB,"[2, 6]","[[1, 4], [1, 2]]"
nRLz4EVH,,
t83N8xHn,"[1, 0]","[[0, 0], [1, 0]]"
lY6V6Goa,"[1, 1]","[[1, 1], [0, 0]]"
SO5Z5z15,"[2, 0]","[[2, 0], [0, 0]]"
6ZjRYlnT,"[1, 6]","[[1, 2], [0, 4]]"
hWnNZUWM,"[2, 2]","[[1, 1], [1, 1]]"
WGbEyi2A,"[1, 0]","[[0, 0], [1, 0]]"
OEwgU8fp,"[2, 0]","[[1, 0], [1, 0]]"
A7cIzBHG,"[1, 5]","[[0, 2], [1, 3]]"
25xcTS9j,"[2, 2]","[[1, 2], [1, 0]]"
dbt0rjlp,"[4, 2]","[[1, 2], [3, 0]]"
O4Yo6gti,"[2, 0]","[[1, 0], [1, 0]]"
Mcmi3iQ9,"[2, 2]","[[1, 1], [1, 1]]"
QZRuka0F,"[3, 0]","[[3, 0], [0, 0]]"
4KwXjLV2,"[4, 4]","[[3, 1], [1, 3]]"
rBxyjuo9,"[1, 1]","[[0, 0], [1, 1]]"
bNjoTHwd,"[1, 7]","[[1, 4], [0, 3]]"
xEkkSyg2,"[1, 4]","[[1, 1], [0, 3]]"
zcXPuPcr,"[1, 1]","[[1, 1], [0, 0]]"
AFPxwNs1,"[2, 0]","[[1, 0], [1, 0]]"
nZFmaDb3,"[4, 0]","[[3, 0], [1, 0]]"
